Country,International Dollar Per Capita (PPP)
Afghanistan,186
Angola,165
Albania,697
Andorra,3610
United Arab Emirates,3170
Argentina,1990
Armenia,1040
Antigua and Barbuda,1410
Australia,5000
Austria,5880
Azerbaijan,634
Burundi,65.8
Belgium,5400
Benin,83.2
Burkina Faso,112
Bangladesh,110
Bulgaria,1630
Bahrain,1960
Bahamas,2010
Bosnia and Herzegovina,1300
Belarus,1130
Belize,506
Bolivia,496
Brazil,1530
Barbados,1200
Brunei,1950
Bhutan,322
Botswana,1090
Central African Republic,97
Canada,5200
Switzerland,8110
Chile,2310
China,935
Cote d'Ivoire,176
Cameroon,134
"Congo, Dem. Rep.",30.7
"Congo, Rep.",125
Colombia,1160
Comoros,134
Cape Verde,400
Costa Rica,1340
Cuba,2520
Cyprus,2620
Czech Republic,3040
Germany,6100
Djibouti,135
Dominica,710
Denmark,5790
Dominican Republic,1020
Algeria,963
Ecuador,955
Egypt,614
Eritrea,73.7
Spain,3580
Estonia,2430
Ethiopia,66.6
Finland,4460
Fiji,372
France,5250
"Micronesia, Fed. Sts.",414
Gabon,491
United Kingdom,4620
Georgia,796
Ghana,168
Guinea,109
Gambia,80.8
Guinea-Bissau,123
Equatorial Guinea,697
Greece,2340
Grenada,694
Guatemala,483
Guyana,513
Honduras,362
Croatia,1880
Haiti,144
Hungary,2120
Indonesia,375
India,275
Ireland,5900
Iran,1690
Iraq,716
Iceland,5110
Israel,3210
Italy,3620
Jamaica,559
Jordan,738
Japan,4500
Kazakhstan,784
Kenya,179
Kyrgyz Republic,260
Cambodia,261
Kiribati,278
St. Kitts and Nevis,1560
South Korea,3210
Kuwait,3670
Lao,167
Lebanon,1090
Liberia,103
Libya,
St. Lucia,611
Sri Lanka,517
Lesotho,309
Lithuania,2310
Luxembourg,6050
Latvia,1900
Morocco,467
Monaco,2980
Moldova,480
Madagascar,79.1
Maldives,1440
Mexico,1070
Marshall Islands,677
North Macedonia,1070
Mali,90
Malta,3900
Myanmar,292
Montenegro,1710
Mongolia,519
Mozambique,118
Mauritania,190
Mauritius,1380
Malawi,120
Malaysia,1190
Namibia,883
Niger,78
Nigeria,233
Nicaragua,474
Netherlands,5630
Norway,6820
Nepal,180
Nauru,1170
New Zealand,4020
Oman,1730
Pakistan,178
Panama,1860
Peru,767
Philippines,394
Palau,2010
Papua New Guinea,101
Poland,2020
Portugal,3240
Paraguay,935
Qatar,3170
Romania,1580
Russia,1490
Rwanda,170
Saudi Arabia,3520
Sudan,293
Senegal,146
Singapore,4440
Solomon Islands,108
Sierra Leone,257
El Salvador,592
San Marino,4340
Serbia,1480
South Sudan,114
Sao Tome and Principe,214
Suriname,1180
Slovak Republic,2180
Slovenia,3160
Sweden,5830
Eswatini,696
Seychelles,1550
Syria,
Chad,79
Togo,109
Thailand,723
Tajikistan,250
Turkmenistan,1280
Timor-Leste,353
Tonga,355
Trinidad and Tobago,2100
Tunisia,912
Turkey,1170
Tuvalu,758
Tanzania,112
Uganda,139
Ukraine,683
Uruguay,2170
United States,10600
Uzbekistan,459
St. Vincent and the Grenadines,550
Venezuela,384
Vietnam,440
Vanuatu,109
Samoa,355
Yemen,
South Africa,1130
Zambia,208
Zimbabwe,198
