Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,233503524,2995.731797454665,3033440,38.91749686686047,354168,4777503,61.292940698980864,51533,0.6611422563294228,5812,
United States of America,Americas,42966938,12980.84,655040,197.9,0,688099,207.88,10624,3.21,0
India,South-East Asia,33766707,2446.86,171904,12.46,26727,448339,32.49,1971,0.14,277
Brazil,Americas,21399546,10067.56,115979,54.56,17756,596122,280.45,3806,1.79,676
The United Kingdom,Europe,7807040,11500.22,241169,355.26,35742,136662,201.31,859,1.27,137
Russian Federation,Europe,7535548,5163.65,159174,109.07,24522,208142,142.63,5869,4.02,887
Turkey,Europe,7154070,8482.51,193773,229.75,29104,64054,75.95,1530,1.81,216
France,Europe,6799222,10454.01,32847,50.5,5126,114475,176.01,287,0.44,54
Iran (Islamic Republic of),Eastern Mediterranean,5587040,6651.8,93449,111.26,14078,120428,143.38,1920,2.29,268
Argentina,Americas,5255261,11627.77,9996,22.12,1496,115130,254.74,446,0.99,92
Spain,Europe,4959091,10477.11,12361,26.12,1091,86415,182.57,118,0.25,5
Colombia,Americas,4955848,9739.71,10645,20.92,1472,126261,248.14,255,0.5,42
Italy,Europe,4672355,7834.07,22449,37.64,4094,130921,219.51,370,0.62,51
Germany,Europe,4237619,5095.33,56226,67.61,10118,93711,112.68,408,0.49,73
Indonesia,South-East Asia,4216728,1541.63,12612,4.61,1624,142026,51.92,768,0.28,87
Mexico,Americas,3655395,2835.12,58227,45.16,9796,276973,214.82,3582,2.78,597
Poland,Europe,2908432,7662.21,6758,17.8,1361,75666,199.34,115,0.3,16
South Africa,Africa,2902672,4894.18,10591,17.86,1678,87626,147.75,971,1.64,101
Philippines,Western Pacific,2549966,2327.01,115297,105.22,14286,38294,34.95,889,0.81,130
Ukraine,Europe,2435413,5568.73,55930,127.89,12034,56446,129.07,1022,2.34,172
Malaysia,Western Pacific,2245695,6938.44,89017,275.03,12735,26335,81.37,1654,5.11,192
Peru,Americas,2175305,6597.46,5878,17.83,1086,199367,604.66,259,0.79,38
Iraq,Eastern Mediterranean,2003303,4980.55,15951,39.66,2434,22260,55.34,267,0.66,39
Netherlands,Europe,2003050,11506.77,11518,66.17,1732,18170,104.38,26,0.15,2
Japan,Western Pacific,1701309,1345.16,13887,10.98,1673,17648,13.95,273,0.22,43
Czechia,Europe,1692412,15825.9,3953,36.96,917,30475,284.97,11,0.1,1
Chile,Americas,1654264,8653.73,4855,25.4,858,37468,196,58,0.3,13
Canada,Americas,1620137,4292.65,30535,80.9,4278,27819,73.71,282,0.75,65
Thailand,South-East Asia,1615229,2314.08,77919,111.63,11754,16850,24.14,834,1.19,123
Bangladesh,South-East Asia,1556758,945.27,7205,4.37,847,27531,16.72,163,0.1,21
Israel,Europe,1283027,14823.19,27082,312.89,4313,7761,89.67,119,1.37,9
Pakistan,Eastern Mediterranean,1245127,563.68,12532,5.67,1742,27729,12.55,297,0.13,39
Belgium,Europe,1244954,10804.6,10207,88.58,2,25602,222.19,50,0.43,2
Romania,Europe,1244555,6438.85,64458,333.48,10887,37210,192.51,1101,5.7,169
Sweden,Europe,1152886,11163.17,4275,41.39,860,14864,143.93,10,0.1,1
Portugal,Europe,1069279,10385.47,4369,42.43,749,17975,174.58,37,0.36,7
