Date,Close
1/02/2019,64.74
1/03/2019,62.77
1/04/2019,65.15
1/07/2019,65.68
1/08/2019,66.58
1/09/2019,67.03
1/10/2019,67.94
1/11/2019,67.87
1/14/2019,67.86
1/15/2019,67.65
1/16/2019,67.72
1/17/2019,68.88
1/18/2019,70.19
1/22/2019,68.74
1/23/2019,68.84
1/24/2019,69.19
1/25/2019,70.07
1/28/2019,69.4
1/29/2019,70.36
1/30/2019,71.46
1/31/2019,71.77
2/01/2019,71.88
2/04/2019,72.81
2/05/2019,73.44
2/06/2019,73.46
2/07/2019,72.96
2/08/2019,73.07
2/11/2019,73.46
2/12/2019,74.6
2/13/2019,75.04
2/14/2019,74.69
2/15/2019,75.69
2/19/2019,75.66
2/20/2019,76.02
2/21/2019,75.71
2/22/2019,76.21
2/25/2019,76.51
2/26/2019,76.3
2/27/2019,76.6
2/28/2019,76.34
3/01/2019,76.41
3/04/2019,76.07
3/05/2019,75.58
3/06/2019,74.87
3/07/2019,74.42
3/08/2019,74.27
3/11/2019,74.9
3/12/2019,74.28
3/13/2019,74.93
3/14/2019,74.68
3/15/2019,73.99
3/18/2019,74.71
3/19/2019,74.44
3/20/2019,73.93
3/21/2019,74.64
3/22/2019,72.95
3/25/2019,73.12
3/26/2019,73.61
3/27/2019,73.69
3/28/2019,74.23
3/29/2019,75.03
4/01/2019,76.58
4/02/2019,76.55
4/03/2019,76.32
4/04/2019,76.79
4/05/2019,77.01
4/08/2019,76.68
4/09/2019,75.64
4/10/2019,75.62
4/11/2019,76.27
4/12/2019,77.28
4/15/2019,76.85
4/16/2019,77.32
4/17/2019,77.42
4/18/2019,78.31
4/22/2019,78.07
4/23/2019,78.75
4/24/2019,78.52
4/25/2019,76.94
4/26/2019,77.52
4/29/2019,77.7
4/30/2019,78.01
5/01/2019,77.5
5/02/2019,77.46
5/03/2019,78.4
5/06/2019,77.65
5/07/2019,76.08
5/08/2019,76.08
5/09/2019,75.97
5/10/2019,76.27
5/13/2019,74.1
5/14/2019,74.87
5/15/2019,74.97
5/16/2019,75.66
5/17/2019,74.82
5/20/2019,74.63
5/21/2019,75.51
5/22/2019,74.89
5/23/2019,73.75
5/24/2019,73.78
5/28/2019,73.1
5/29/2019,72.77
5/30/2019,73.05
5/31/2019,72.05
6/03/2019,72.54
6/04/2019,74.27
6/05/2019,74.99
6/06/2019,75.12
6/07/2019,75.72
6/10/2019,75.82
6/11/2019,75.17
6/12/2019,75.33
6/13/2019,75.71
6/14/2019,75.41
6/17/2019,75.15
6/18/2019,76.61
6/19/2019,76.55
6/20/2019,77.83
6/21/2019,77.08
6/24/2019,76.93
6/25/2019,76.35
6/26/2019,76.54
6/27/2019,76.61
6/28/2019,77.42
7/01/2019,77.49
7/02/2019,77.39
7/03/2019,77.82
7/05/2019,77.51
7/08/2019,76.87
7/09/2019,76.7
7/10/2019,76.52
7/11/2019,77.04
7/12/2019,78.39
7/15/2019,78.07
7/16/2019,78.57
7/17/2019,76.89
7/18/2019,77.03
7/19/2019,77.45
7/22/2019,77.51
7/23/2019,78.49
7/24/2019,78.83
7/25/2019,78.67
7/26/2019,78.5
7/29/2019,78.36
7/30/2019,78.7
7/31/2019,77.82
8/01/2019,76.31
8/02/2019,75.82
8/05/2019,73.72
8/06/2019,74.83
8/07/2019,74.79
8/08/2019,76.06
8/09/2019,75.42
8/12/2019,74.38
8/13/2019,75.27
8/14/2019,72.97
8/15/2019,72.89
8/16/2019,74.3
8/19/2019,75
8/20/2019,74.56
8/21/2019,75.02
8/22/2019,75.13
8/23/2019,73.12
8/26/2019,73.66
8/27/2019,73.28
8/28/2019,74.18
8/29/2019,75.45
8/30/2019,75.76
9/03/2019,74.73
9/04/2019,75.68
9/05/2019,77.04
9/06/2019,77.2
9/09/2019,77.43
9/10/2019,78.14
9/11/2019,78.87
9/12/2019,78.92
9/13/2019,79.35
9/16/2019,79.28
9/17/2019,79.24
9/18/2019,79.12
9/19/2019,78.72
9/20/2019,77.81
9/23/2019,77.66
9/24/2019,77.22
9/25/2019,77.72
9/26/2019,77.83
9/27/2019,77.52
9/30/2019,77.63
10/01/2019,75.77
10/02/2019,74.34
10/03/2019,74.83
10/04/2019,75.61
10/07/2019,75.23
10/08/2019,74.07
10/09/2019,74.7
10/10/2019,75.38
10/11/2019,76.8
10/14/2019,76.65
10/15/2019,77.27
10/16/2019,77.23
10/17/2019,77.61
10/18/2019,76.94
10/21/2019,77.4
10/22/2019,78.01
10/23/2019,78
10/24/2019,78.11
10/25/2019,78.6
10/28/2019,78.82
10/29/2019,79.08
10/30/2019,79.36
10/31/2019,78.51
11/01/2019,80.22
11/04/2019,81.15
11/05/2019,81.32
11/06/2019,81.37
11/07/2019,81.65
11/08/2019,81.76
11/11/2019,81.8
11/12/2019,81.79
11/13/2019,81.45
11/14/2019,81.71
11/15/2019,82.31
11/18/2019,82
11/19/2019,81.93
11/20/2019,81.28
11/21/2019,81.25
11/22/2019,81.67
11/25/2019,82.26
11/26/2019,82.5
11/27/2019,82.42
11/29/2019,82.04
12/02/2019,80.69
12/03/2019,79.81
12/04/2019,80.12
12/05/2019,80.14
12/06/2019,81.11
12/09/2019,80.8
12/10/2019,80.7
12/11/2019,81.21
12/12/2019,81.93
12/13/2019,81.71
12/16/2019,81.67
12/17/2019,81.59
12/18/2019,81.25
12/19/2019,81.47
12/20/2019,81.44
12/23/2019,82.11
12/24/2019,81.78
12/26/2019,81.97
12/27/2019,81.9
12/30/2019,81.52
12/31/2019,81.47
1/02/2020,83.01
1/03/2020,82.85
1/06/2020,82.88
1/07/2020,82.71
1/08/2020,82.99
1/09/2020,83.34
1/10/2020,82.75
1/13/2020,83.43
1/14/2020,83.44
1/15/2020,83.57
1/16/2020,84.4
1/17/2020,84.41
1/21/2020,83.48
1/22/2020,83.04
1/23/2020,83.94
1/24/2020,83.55
1/27/2020,81.97
1/28/2020,82.5
1/29/2020,82.94
1/30/2020,83.03
1/31/2020,81.11
2/03/2020,81.08
2/04/2020,82.61
2/05/2020,83.99
2/06/2020,84.26
2/07/2020,83.65
2/10/2020,84.12
2/11/2020,84.44
2/12/2020,85.23
2/13/2020,84.75
2/14/2020,84.64
2/18/2020,84.16
2/19/2020,84.13
2/20/2020,84.01
2/21/2020,83.59
2/24/2020,81.21
2/25/2020,77.9
2/26/2020,77.31
2/27/2020,74.44
2/28/2020,73.08
3/02/2020,75.65
3/03/2020,73.8
3/04/2020,76.85
3/05/2020,73.09
3/06/2020,72.45
3/09/2020,65.77
3/10/2020,69.18
3/11/2020,65.12
3/12/2020,58.38
3/13/2020,62.94
3/16/2020,55.8
3/17/2020,58.37
3/18/2020,54.07
3/19/2020,54.11
3/20/2020,51.4
3/23/2020,48.77
3/24/2020,54.94
3/25/2020,57.83
3/26/2020,61.48
3/27/2020,58.89
3/30/2020,59.75
3/31/2020,59.01
4/01/2020,56.35
4/02/2020,57.1
4/03/2020,56.34
4/06/2020,60.24
4/07/2020,60.1
4/08/2020,62.28
4/09/2020,63.22
4/13/2020,61.37
4/14/2020,62.54
4/15/2020,60.81
4/16/2020,60.27
4/17/2020,63.1
4/20/2020,61.42
4/21/2020,59.97
4/22/2020,60.6
4/23/2020,61.08
4/24/2020,61.57
4/27/2020,63.1
4/28/2020,64.28
4/29/2020,65.51
4/30/2020,64.21
5/01/2020,62.27
5/04/2020,61.48
5/05/2020,61.72
5/06/2020,60.87
5/07/2020,61.58
5/08/2020,63.11
5/11/2020,62.32
5/12/2020,60.57
5/13/2020,59.05
5/14/2020,59.67
5/15/2020,59.46
5/18/2020,63.38
5/19/2020,62.57
5/20/2020,63.74
5/21/2020,63.89
5/22/2020,63.84
5/26/2020,66.52
5/27/2020,68.74
5/28/2020,68.09
5/29/2020,67.67
6/01/2020,67.82
6/02/2020,68.7
6/03/2020,71.38
6/04/2020,72.14
6/05/2020,74.79
6/08/2020,76.29
6/09/2020,74.39
6/10/2020,72.61
6/11/2020,67.51
6/12/2020,68.82
6/15/2020,69.5
6/16/2020,70.86
6/17/2020,70.35
6/18/2020,70.09
6/19/2020,69.23
6/22/2020,69.04
6/23/2020,69.05
6/24/2020,66.65
6/25/2020,67.39
6/26/2020,66.14
6/29/2020,68.31
6/30/2020,68.7
7/01/2020,68.39
7/02/2020,68.98
7/06/2020,69.97
7/07/2020,68.63
7/08/2020,68.63
7/09/2020,67.14
7/10/2020,68.01
7/13/2020,68.29
7/14/2020,69.77
7/15/2020,71.55
7/16/2020,71.57
7/17/2020,72
7/20/2020,71.12
7/21/2020,72.06
7/22/2020,72.64
7/23/2020,72.42
7/24/2020,71.84
7/27/2020,72.14
7/28/2020,71.64
7/29/2020,72.73
7/30/2020,72
7/31/2020,71.73
8/03/2020,72.03
8/04/2020,72.21
8/05/2020,73.59
8/06/2020,73.87
8/07/2020,75.13
8/10/2020,76.98
8/11/2020,77.39
8/12/2020,77.64
8/13/2020,77.23
8/14/2020,77.53
8/17/2020,77.17
8/18/2020,76.75
8/19/2020,76.55
8/20/2020,76.14
8/21/2020,76.45
8/24/2020,77.83
8/25/2020,77.73
8/26/2020,77.77
8/27/2020,78.05
8/28/2020,78.79
8/31/2020,77.81
9/01/2020,78.6
9/02/2020,79.9
9/03/2020,77.66
9/04/2020,77.84
9/08/2020,76.38
9/09/2020,77.56
9/10/2020,76.57
9/11/2020,77.61
9/14/2020,78.66
9/15/2020,78.71
9/16/2020,79.51
9/17/2020,79.67
9/18/2020,78.78
9/21/2020,75.87
9/22/2020,76.62
9/23/2020,75.25
9/24/2020,75.36
9/25/2020,76.49
9/28/2020,77.87
9/29/2020,77.18
9/30/2020,76.98
10/01/2020,76.75
10/02/2020,77.61
10/05/2020,78.86
10/06/2020,77.9
10/07/2020,79.62
10/08/2020,80.41
10/09/2020,80.71
10/12/2020,81.17
10/13/2020,80.27
10/14/2020,80.72
10/15/2020,81.01
10/16/2020,81.6
10/19/2020,80.59
10/20/2020,81.01
10/21/2020,80.19
10/22/2020,80.85
10/23/2020,81.17
10/26/2020,79.14
10/27/2020,77.41
10/28/2020,74.87
10/29/2020,75.96
10/30/2020,75.87
11/02/2020,77.92
11/03/2020,80.22
11/04/2020,79.39
11/05/2020,81.26
11/06/2020,81.34
11/09/2020,84.11
11/10/2020,85.59
11/11/2020,84.87
11/12/2020,83.9
11/13/2020,85.76
11/16/2020,87.85
11/17/2020,87.62
11/18/2020,87.23
11/19/2020,87.45
11/20/2020,86.66
11/23/2020,88.11
11/24/2020,89.65
11/25/2020,88.97
11/27/2020,88.82
11/30/2020,88.03
12/01/2020,87.81
12/02/2020,87.93
12/03/2020,88.16
12/04/2020,89.21
12/07/2020,88.78
12/08/2020,89.21
12/09/2020,89.41
12/10/2020,88.56
12/11/2020,88.77
12/14/2020,87.62
12/15/2020,88.84
12/16/2020,88.29
12/17/2020,88.83
12/18/2020,88.84
12/21/2020,87.94
12/22/2020,87.53
12/23/2020,87.99
12/24/2020,88
12/28/2020,88.11
12/29/2020,87.58
12/30/2020,88.14
12/31/2020,88.55
1/04/2021,86.41
1/05/2021,87.26
1/06/2021,89.34
1/07/2021,89.83
1/08/2021,89.61
1/11/2021,89.58
1/12/2021,90.47
1/13/2021,89.69
1/14/2021,90
1/15/2021,88.83
1/19/2021,89.12
1/20/2021,89.67
1/21/2021,88.97
1/22/2021,88.51
1/25/2021,87.91
1/26/2021,87.1
1/27/2021,85.37
1/28/2021,86.64
1/29/2021,84.77
2/01/2021,85.65
2/02/2021,87.47
2/03/2021,87.53
2/04/2021,88.47
2/05/2021,88.99
2/08/2021,89.75
2/09/2021,89.98
2/10/2021,89.84
2/11/2021,89.65
2/12/2021,90.3
2/16/2021,90.21
2/17/2021,89.96
2/18/2021,89.51
2/19/2021,90.98
2/22/2021,91.27
2/23/2021,91.55
2/24/2021,93.28
2/25/2021,91.56
2/26/2021,90.61
3/01/2021,92.93
3/02/2021,92.66
3/03/2021,92.76
3/04/2021,91.28
3/05/2021,93.44
3/08/2021,94.42
