Date,Close
1/02/2019,50.48
1/03/2019,50.19
1/04/2019,51.26
1/07/2019,51.19
1/08/2019,51.66
1/09/2019,51.18
1/10/2019,51.48
1/11/2019,51.63
1/14/2019,51.38
1/15/2019,51.89
1/16/2019,51.61
1/17/2019,51.83
1/18/2019,52.45
1/22/2019,51.97
1/23/2019,52.59
1/24/2019,51.94
1/25/2019,51.73
1/28/2019,51.95
1/29/2019,52.07
1/30/2019,52.42
1/31/2019,53.39
2/01/2019,53.22
2/04/2019,53.56
2/05/2019,53.57
2/06/2019,53.58
2/07/2019,53.54
2/08/2019,53.79
2/11/2019,53.93
2/12/2019,54.35
2/13/2019,54.45
2/14/2019,53.84
2/15/2019,54.35
2/19/2019,54.63
2/20/2019,54.53
2/21/2019,54.69
2/22/2019,54.43
2/25/2019,54.13
2/26/2019,54.16
2/27/2019,54.08
2/28/2019,54.34
3/01/2019,54.24
3/04/2019,54.15
3/05/2019,54.11
3/06/2019,54.03
3/07/2019,53.68
3/08/2019,53.71
3/11/2019,54.41
3/12/2019,54.43
3/13/2019,54.74
3/14/2019,54.69
3/15/2019,54.7
3/18/2019,54.78
3/19/2019,54.74
3/20/2019,54.51
3/21/2019,55.15
3/22/2019,55.08
3/25/2019,55.19
3/26/2019,55.66
3/27/2019,55.47
3/28/2019,55.74
3/29/2019,56.11
4/01/2019,55.92
4/02/2019,55.46
4/03/2019,55.19
4/04/2019,55.4
4/05/2019,55.59
4/08/2019,55.82
4/09/2019,55.75
4/10/2019,55.91
4/11/2019,56.02
4/12/2019,56.2
4/15/2019,56.53
4/16/2019,56.54
4/17/2019,56.82
4/18/2019,56.87
4/22/2019,56.89
4/23/2019,56.71
4/24/2019,56.83
4/25/2019,56.47
4/26/2019,56.98
4/29/2019,57.05
4/30/2019,57.71
5/01/2019,57
5/02/2019,56.98
5/03/2019,57.41
5/06/2019,57.32
5/07/2019,56.75
5/08/2019,56.74
5/09/2019,56.62
5/10/2019,57.31
5/13/2019,56.77
5/14/2019,57.04
5/15/2019,57.49
5/16/2019,57.94
5/17/2019,57.75
5/20/2019,57.61
5/21/2019,57.49
5/22/2019,57.75
5/23/2019,57.73
5/24/2019,57.52
