Date,Close
1/02/2019,50.78
1/03/2019,49.34
1/04/2019,51.28
1/07/2019,51.46
1/08/2019,52
1/09/2019,52.02
1/10/2019,52.48
1/11/2019,52.27
1/14/2019,51.87
1/15/2019,51.53
1/16/2019,51.73
1/17/2019,52.64
1/18/2019,53.51
1/22/2019,52.77
1/23/2019,52.41
1/24/2019,52.13
1/25/2019,53.12
1/28/2019,53.04
1/29/2019,53.59
1/30/2019,54.16
1/31/2019,53.35
2/01/2019,53.51
2/04/2019,53.42
2/05/2019,53.81
2/06/2019,53.49
2/07/2019,52.75
2/08/2019,52.7
2/11/2019,52.78
2/12/2019,53.96
2/13/2019,54.03
2/14/2019,53.75
2/15/2019,54.48
2/19/2019,54.82
2/20/2019,55.76
2/21/2019,55.54
2/22/2019,55.78
2/25/2019,56.14
2/26/2019,55.82
2/27/2019,55.73
2/28/2019,55.05
3/01/2019,54.98
3/04/2019,55.23
3/05/2019,54.97
3/06/2019,55.09
3/07/2019,54.64
3/08/2019,54.73
3/11/2019,55.51
3/12/2019,55.72
3/13/2019,55.99
3/14/2019,55.57
3/15/2019,55.4
3/18/2019,55.53
3/19/2019,55.46
3/20/2019,55.41
3/21/2019,56
3/22/2019,54.33
3/25/2019,54.23
3/26/2019,54.56
3/27/2019,54.49
3/28/2019,55.02
3/29/2019,55.5
4/01/2019,56.33
4/02/2019,56.52
4/03/2019,57.26
4/04/2019,57.84
4/05/2019,57.82
4/08/2019,57.84
4/09/2019,57.42
4/10/2019,57.39
4/11/2019,57.36
4/12/2019,58.12
4/15/2019,57.85
4/16/2019,58.11
4/17/2019,57.75
4/18/2019,57.82
4/22/2019,57.43
4/23/2019,57.69
4/24/2019,57.33
4/25/2019,56.6
4/26/2019,57.07
4/29/2019,56.96
4/30/2019,57.45
5/01/2019,56.41
5/02/2019,56.12
5/03/2019,56.67
5/06/2019,55.86
5/07/2019,54.88
5/08/2019,54.83
5/09/2019,54.4
5/10/2019,55.14
5/13/2019,53.9
5/14/2019,54.36
5/15/2019,54.22
5/16/2019,54.98
5/17/2019,54.65
5/20/2019,53.87
5/21/2019,54.7
5/22/2019,54.32
5/23/2019,53.49
5/24/2019,53.79
5/28/2019,53.25
5/29/2019,53.26
5/30/2019,53.35
5/31/2019,52.75
6/03/2019,54.41
6/04/2019,55.94
6/05/2019,56.35
6/06/2019,57.02
6/07/2019,57.53
6/10/2019,57.63
6/11/2019,57.59
6/12/2019,57.78
6/13/2019,58.12
6/14/2019,57.87
6/17/2019,57.34
6/18/2019,57.79
6/19/2019,57.47
6/20/2019,58.2
6/21/2019,57.67
