Date,Close
1/02/2019,58.48
1/03/2019,57.9
1/04/2019,59.87
1/07/2019,60.76
1/08/2019,61.23
1/09/2019,62.2
1/10/2019,62.38
1/11/2019,62.01
1/14/2019,61.86
1/15/2019,62.08
1/16/2019,62
1/17/2019,62.57
1/18/2019,63.84
1/22/2019,62.45
1/23/2019,61.81
1/24/2019,62.14
1/25/2019,62.93
1/28/2019,62.3
1/29/2019,62.49
1/30/2019,63.37
1/31/2019,63.78
2/01/2019,64.89
2/04/2019,65.04
2/05/2019,65.14
2/06/2019,64.66
2/07/2019,63.23
2/08/2019,62.94
2/11/2019,63.24
2/12/2019,64.04
2/13/2019,64.84
2/14/2019,65.07
2/15/2019,66.12
2/19/2019,66.32
2/20/2019,66.6
2/21/2019,65.57
2/22/2019,65.76
2/25/2019,65.87
2/26/2019,65.66
2/27/2019,65.91
2/28/2019,65.25
3/01/2019,66.45
3/04/2019,66.57
3/05/2019,66.35
3/06/2019,65.51
3/07/2019,65.12
3/08/2019,63.9
3/11/2019,64.9
3/12/2019,65.32
3/13/2019,65.98
3/14/2019,66.05
3/15/2019,65.51
3/18/2019,66.42
3/19/2019,66.24
3/20/2019,66.82
3/21/2019,67.29
3/22/2019,65.47
3/25/2019,65.5
3/26/2019,66.44
3/27/2019,65.97
3/28/2019,66.22
3/29/2019,66.12
4/01/2019,66.99
4/02/2019,66.53
4/03/2019,65.89
4/04/2019,66.44
4/05/2019,67.61
4/08/2019,67.91
4/09/2019,67.08
4/10/2019,67.33
4/11/2019,67.38
4/12/2019,67.56
4/15/2019,67.16
4/16/2019,67.6
4/17/2019,67.51
4/18/2019,67.19
4/22/2019,68.61
4/23/2019,68.5
4/24/2019,67.3
4/25/2019,67.09
4/26/2019,66.22
4/29/2019,66.16
4/30/2019,66.11
5/01/2019,64.79
5/02/2019,63.66
5/03/2019,64.25
5/06/2019,64.31
5/07/2019,63.75
5/08/2019,63.75
5/09/2019,63.75
5/10/2019,64.05
5/13/2019,62.95
5/14/2019,63.72
5/15/2019,64.05
5/16/2019,64.4
5/17/2019,63.75
5/20/2019,63.78
5/21/2019,64.52
5/22/2019,63.52
5/23/2019,61.39
5/24/2019,61.62
5/28/2019,60.98
5/29/2019,60.59
5/30/2019,59.82
5/31/2019,58.77
6/03/2019,59.52
6/04/2019,60.55
6/05/2019,59.88
6/06/2019,60.99
6/07/2019,61.27
6/10/2019,61.45
6/11/2019,61.57
6/12/2019,60.7
6/13/2019,61.41
6/14/2019,61.01
6/17/2019,61.52
6/18/2019,62.37
6/19/2019,62.3
6/20/2019,63.68
6/21/2019,63.56
6/24/2019,62.99
6/25/2019,62.49
6/26/2019,63.45
6/27/2019,62.98
6/28/2019,63.71
7/01/2019,63.77
7/02/2019,62.75
7/03/2019,63
7/05/2019,63.09
7/08/2019,63.18
7/09/2019,63.23
7/10/2019,64.04
7/11/2019,64.17
7/12/2019,64.44
7/15/2019,63.86
7/16/2019,63.18
7/17/2019,62.46
7/18/2019,62.47
7/19/2019,62.76
7/22/2019,63.05
7/23/2019,63.22
7/24/2019,63.49
7/25/2019,62.77
7/26/2019,62.45
7/29/2019,62.2
7/30/2019,62.9
7/31/2019,62.7
8/01/2019,61.28
8/02/2019,60.4
8/05/2019,58.6
8/06/2019,58.53
8/07/2019,58.09
8/08/2019,59.76
8/09/2019,59.1
8/12/2019,58.4
8/13/2019,58.94
8/14/2019,56.63
8/15/2019,56.28
8/16/2019,57.02
8/19/2019,58.28
8/20/2019,57.79
8/21/2019,58.16
8/22/2019,57.9
8/23/2019,55.96
8/26/2019,56.2
8/27/2019,55.85
8/28/2019,56.65
8/29/2019,57.48
8/30/2019,57.48
9/03/2019,57.2
9/04/2019,58
9/05/2019,58.72
9/06/2019,59.03
9/09/2019,60.21
9/10/2019,60.92
9/11/2019,60.98
9/12/2019,60.6
9/13/2019,61.08
9/16/2019,63.13
9/17/2019,62.25
9/18/2019,61.95
9/19/2019,61.79
