Date,Close
1/02/2019,52.01
1/03/2019,52
1/04/2019,52.77
1/07/2019,52.41
1/08/2019,53.06
1/09/2019,52.74
1/10/2019,53.43
1/11/2019,53.23
1/14/2019,52.03
1/15/2019,52.67
1/16/2019,52.86
1/17/2019,53.08
1/18/2019,53.14
1/22/2019,53.24
1/23/2019,53.78
1/24/2019,54.06
1/25/2019,53.32
1/28/2019,53.07
1/29/2019,53.22
1/30/2019,53.63
1/31/2019,54.76
2/01/2019,54.55
2/04/2019,54.64
2/05/2019,54.75
2/06/2019,54.72
2/07/2019,55.44
2/08/2019,55.68
2/11/2019,55.66
2/12/2019,55.79
2/13/2019,55.63
2/14/2019,55.54
2/15/2019,55.71
2/19/2019,56.04
2/20/2019,56.29
2/21/2019,56.7
2/22/2019,57.05
2/25/2019,56.68
2/26/2019,56.61
2/27/2019,56.68
2/28/2019,57.01
3/01/2019,57.13
3/04/2019,57.23
3/05/2019,57.16
3/06/2019,57.16
3/07/2019,57.35
3/08/2019,57.55
3/11/2019,57.96
3/12/2019,58.36
3/13/2019,58.42
3/14/2019,58.41
3/15/2019,58.19
3/18/2019,57.97
3/19/2019,57.31
3/20/2019,57.46
3/21/2019,58.07
3/22/2019,58.49
3/25/2019,58.54
3/26/2019,58.96
3/27/2019,58.55
3/28/2019,57.86
3/29/2019,58.17
4/01/2019,57.77
4/02/2019,57.85
4/03/2019,57.76
4/04/2019,57.56
4/05/2019,58.1
4/08/2019,57.69
4/09/2019,57.83
4/10/2019,57.65
4/11/2019,57.94
4/12/2019,58.21
4/15/2019,58.2
4/16/2019,57.48
4/17/2019,57.26
4/18/2019,57.29
4/22/2019,57.24
4/23/2019,57.4
4/24/2019,57.77
4/25/2019,58.01
4/26/2019,58.1
4/29/2019,57.76
4/30/2019,58.71
5/01/2019,58.11
5/02/2019,57.98
5/03/2019,58.3
5/06/2019,57.98
5/07/2019,57.8
5/08/2019,57.01
5/09/2019,56.94
5/10/2019,57.96
5/13/2019,58.58
5/14/2019,58.19
5/15/2019,58.09
5/16/2019,58.48
5/17/2019,58.78
5/20/2019,58.86
5/21/2019,58.97
5/22/2019,59.41
5/23/2019,59.92
5/24/2019,59.83
5/28/2019,58.85
5/29/2019,58.07
5/30/2019,57.98
5/31/2019,58.25
6/03/2019,58.83
6/04/2019,58.88
6/05/2019,60.14
6/06/2019,60.51
6/07/2019,60.06
6/10/2019,59.65
6/11/2019,59.29
6/12/2019,60.06
6/13/2019,60.18
6/14/2019,60.81
6/17/2019,60.64
6/18/2019,60.39
6/19/2019,60.85
6/20/2019,61.24
6/21/2019,60.99
6/24/2019,61.01
6/25/2019,60.64
6/26/2019,59.32
6/27/2019,59.4
6/28/2019,59.63
7/01/2019,59.48
7/02/2019,60.29
7/03/2019,60.71
7/05/2019,60.68
7/08/2019,60.77
7/09/2019,60.85
7/10/2019,60.99
7/11/2019,61.01
7/12/2019,60.61
7/15/2019,60.85
7/16/2019,60.5
7/17/2019,60.73
7/18/2019,61.26
7/19/2019,60.37
7/22/2019,60.24
7/23/2019,59.86
7/24/2019,59.91
7/25/2019,59.76
7/26/2019,59.98
7/29/2019,60.29
7/30/2019,59.83
7/31/2019,59.55
8/01/2019,60.16
8/02/2019,60.15
8/05/2019,59.29
8/06/2019,60.03
8/07/2019,60.18
8/08/2019,60.8
8/09/2019,60.87
8/12/2019,60.75
8/13/2019,60.79
8/14/2019,60.29
8/15/2019,61.07
8/16/2019,61.38
8/19/2019,61.77
8/20/2019,61.67
8/21/2019,62.08
8/22/2019,62.14
8/23/2019,61.48
8/26/2019,62.19
8/27/2019,62.3
8/28/2019,62.13
8/29/2019,62.56
8/30/2019,62.58
9/03/2019,63.69
9/04/2019,63.75
9/05/2019,63.06
9/06/2019,62.81
9/09/2019,62.5
9/10/2019,62.58
9/11/2019,63.2
9/12/2019,63.34
9/13/2019,62.94
9/16/2019,62.99
9/17/2019,63.54
9/18/2019,63.81
9/19/2019,64.11
9/20/2019,63.87
9/23/2019,63.88
9/24/2019,64.63
9/25/2019,64.59
9/26/2019,64.93
9/27/2019,64.7
9/30/2019,64.74
10/01/2019,64.59
10/02/2019,63.73
10/03/2019,63.88
10/04/2019,64.77
10/07/2019,64.52
10/08/2019,63.92
10/09/2019,64.23
10/10/2019,64.16
10/11/2019,63.92
10/14/2019,63.51
10/15/2019,63.31
10/16/2019,63.45
10/17/2019,63.61
10/18/2019,63.82
10/21/2019,64.07
10/22/2019,64.34
10/23/2019,64.6
10/24/2019,64.82
10/25/2019,64.16
10/28/2019,63.28
10/29/2019,63.34
10/30/2019,63.9
10/31/2019,64.25
11/01/2019,64.09
11/04/2019,63.27
11/05/2019,62.62
11/06/2019,62.86
11/07/2019,62.01
11/08/2019,61.75
11/11/2019,61.37
11/12/2019,61.52
11/13/2019,62.43
11/14/2019,62.65
11/15/2019,62.85
11/18/2019,62.98
11/19/2019,62.82
11/20/2019,63.2
11/21/2019,62.98
11/22/2019,63
11/25/2019,62.79
11/26/2019,63
11/27/2019,63.11
11/29/2019,63.05
12/02/2019,62.64
12/03/2019,62.81
12/04/2019,63.29
12/05/2019,63.4
12/06/2019,63.21
12/09/2019,62.99
12/10/2019,62.98
12/11/2019,63.15
12/12/2019,62.88
12/13/2019,63.37
12/16/2019,64.16
12/17/2019,64.37
12/18/2019,64.63
12/19/2019,64.65
12/20/2019,64.59
12/23/2019,63.99
12/24/2019,64.08
12/26/2019,64.19
12/27/2019,64.38
12/30/2019,64.37
12/31/2019,64.62
1/02/2020,63.81
1/03/2020,63.94
1/06/2020,64
1/07/2020,63.91
1/08/2020,63.88
1/09/2020,64.23
1/10/2020,64.4
1/13/2020,64.79
1/14/2020,64.98
1/15/2020,65.89
1/16/2020,66.3
1/17/2020,66.76
1/21/2020,67.37
1/22/2020,67.58
1/23/2020,68.18
1/24/2020,68.36
1/27/2020,68.19
1/28/2020,68.47
1/29/2020,68.65
1/30/2020,69.29
1/31/2020,68.98
2/03/2020,69.2
2/04/2020,68.51
2/05/2020,68.79
2/06/2020,68.81
2/07/2020,68.59
2/10/2020,68.85
2/11/2020,69.1
2/12/2020,69.15
2/13/2020,69.92
2/14/2020,70.39
2/18/2020,70.98
2/19/2020,70.21
2/20/2020,70.46
2/21/2020,70.33
2/24/2020,69.51
2/25/2020,68.05
2/26/2020,67.36
2/27/2020,64.33
2/28/2020,62.18
3/02/2020,65.84
3/03/2020,65.03
3/04/2020,68.72
3/05/2020,67.66
3/06/2020,67.11
3/09/2020,63.46
3/10/2020,64.05
3/11/2020,60.83
3/12/2020,54.69
3/13/2020,57.67
3/16/2020,51.12
3/17/2020,57.66
3/18/2020,55.15
3/19/2020,51.94
3/20/2020,47.82
3/23/2020,44.93
3/24/2020,49.76
3/25/2020,51.03
3/26/2020,55.38
3/27/2020,55.68
3/30/2020,57.74
3/31/2020,55.41
4/01/2020,52.08
4/02/2020,53.71
4/03/2020,51.79
4/06/2020,55.79
4/07/2020,55.09
4/08/2020,58.09
4/09/2020,60.83
4/13/2020,58.9
4/14/2020,60.63
4/15/2020,58.63
4/16/2020,58.64
4/17/2020,60.53
4/20/2020,58.24
4/21/2020,57.28
4/22/2020,58.95
4/23/2020,57.96
4/24/2020,58.32
4/27/2020,58.93
4/28/2020,59.15
4/29/2020,58.61
4/30/2020,57.26
5/01/2020,55.88
5/04/2020,56.3
5/05/2020,56.76
5/06/2020,54.83
5/07/2020,55.05
5/08/2020,56.16
5/11/2020,55.92
5/12/2020,55.43
5/13/2020,54.96
5/14/2020,55.55
5/15/2020,54.81
5/18/2020,57.06
5/19/2020,56.12
5/20/2020,56.43
5/21/2020,55.86
5/22/2020,56.48
5/26/2020,56.85
5/27/2020,57.53
5/28/2020,59.23
5/29/2020,59.69
6/01/2020,60.4
6/02/2020,60.79
6/03/2020,61.52
6/04/2020,60.42
6/05/2020,61.19
6/08/2020,62.83
6/09/2020,61.57
6/10/2020,61.21
6/11/2020,58.82
6/12/2020,58.67
6/15/2020,59.07
6/16/2020,59.34
6/17/2020,59.16
6/18/2020,59.15
6/19/2020,57.49
6/22/2020,57.57
6/23/2020,56.99
6/24/2020,56.47
6/25/2020,55.77
6/26/2020,55.18
6/29/2020,56.22
6/30/2020,56.43
7/01/2020,57.75
7/02/2020,57.9
7/06/2020,57.19
7/07/2020,56.96
7/08/2020,57.47
7/09/2020,56.7
7/10/2020,57.77
7/13/2020,57.83
7/14/2020,58.37
7/15/2020,58.14
7/16/2020,58.88
7/17/2020,60.21
7/20/2020,59.42
7/21/2020,59.69
7/22/2020,60.61
7/23/2020,60.68
7/24/2020,60.28
7/27/2020,59.55
7/28/2020,60.45
7/29/2020,60.73
7/30/2020,60.73
7/31/2020,60.83
8/03/2020,60.17
8/04/2020,60.83
8/05/2020,60.05
8/06/2020,60.4
8/07/2020,61.49
8/10/2020,61.47
8/11/2020,60.14
8/12/2020,61.01
8/13/2020,60.91
8/14/2020,60.38
8/17/2020,60.3
8/18/2020,60.03
8/19/2020,59.85
8/20/2020,59.32
8/21/2020,59.42
8/24/2020,59.94
8/25/2020,59.37
8/26/2020,58.71
8/27/2020,58.9
8/28/2020,59.07
8/31/2020,59.25
9/01/2020,58.57
9/02/2020,60.39
9/03/2020,59.71
9/04/2020,59.37
9/08/2020,59.04
9/09/2020,59.82
9/10/2020,58.79
9/11/2020,58.93
9/14/2020,59.74
9/15/2020,60.14
9/16/2020,60.06
9/17/2020,59.57
9/18/2020,58.52
9/21/2020,57.66
9/22/2020,58.02
9/23/2020,57.13
9/24/2020,57.77
9/25/2020,58.72
9/28/2020,58.87
9/29/2020,58.85
9/30/2020,59.38
10/01/2020,59.98
10/02/2020,60.69
10/05/2020,61.45
10/06/2020,61.97
10/07/2020,62.35
10/08/2020,63.49
10/09/2020,63.48
10/12/2020,63.88
10/13/2020,63.44
10/14/2020,63.36
10/15/2020,63.32
10/16/2020,64
10/19/2020,63.46
10/20/2020,63.84
10/21/2020,63.67
10/22/2020,64.57
10/23/2020,64.75
10/26/2020,64.73
10/27/2020,64.68
10/28/2020,62.8
10/29/2020,62.97
10/30/2020,62.38
11/02/2020,63.75
11/03/2020,64.67
11/04/2020,63.7
11/05/2020,64.27
11/06/2020,64.13
11/09/2020,65.32
11/10/2020,66.26
11/11/2020,66.51
11/12/2020,65.44
11/13/2020,66.09
11/16/2020,66.76
11/17/2020,65.45
11/18/2020,64.17
11/19/2020,63.53
11/20/2020,63.54
11/23/2020,63.55
11/24/2020,64.23
11/25/2020,64.4
11/27/2020,63.76
11/30/2020,62.84
12/01/2020,63.28
12/02/2020,63.7
12/03/2020,63.04
12/04/2020,62.41
12/07/2020,62.76
12/08/2020,62.57
12/09/2020,62.46
12/10/2020,62.14
12/11/2020,62.24
12/14/2020,61.92
12/15/2020,63.14
12/16/2020,62.41
12/17/2020,62.83
12/18/2020,62.29
12/21/2020,61.02
12/22/2020,60.9
12/23/2020,60.78
12/24/2020,61.21
12/28/2020,61.48
12/29/2020,61.47
12/30/2020,61.78
12/31/2020,62.7
1/04/2021,61.12
1/05/2021,61.11
1/06/2021,62.63
1/07/2021,61.81
1/08/2021,62.33
1/11/2021,61.75
1/12/2021,61.42
1/13/2021,62.62
1/14/2021,62.38
1/15/2021,62.99
1/19/2021,62.75
1/20/2021,63.12
1/21/2021,62.75
1/22/2021,62.84
1/25/2021,64.1
1/26/2021,63.46
1/27/2021,61.75
1/28/2021,62.49
1/29/2021,62.15
2/01/2021,62.45
2/02/2021,62.96
2/03/2021,62.76
2/04/2021,63.25
